6|6,6.670951843261719
60 24 12|60 24 12,7.3337554931640625
66 24 12|66 24 12,7.176399230957031
72 24 12|72 24 12,7.3528289794921875
78 24 12|78 24 12,7.925033569335938
84 24 12|84 24 12,7.815361022949219
90 24 12|90 24 12,7.801055908203125
96 24 12|96 24 12,8.029937744140625
30 12|30 12,6.337165832519531
6 30 12|6 30 12,6.747245788574219
12 30 12|12 30 12,6.604194641113281
18 30 12|18 30 12,6.618499755859375
24 30 12|24 30 12,6.899833679199219
30 30 12|30 30 12,6.7901611328125
36 30 12|36 30 12,7.076263427734375
42 30 12|42 30 12,6.90460205078125
48 30 12|48 30 12,7.266998291015625
54 30 12|54 30 12,7.3146820068359375
60 30 12|60 30 12,7.59124755859375
66 30 12|66 30 12,7.300376892089844
72 30 12|72 30 12,7.653236389160156
78 30 12|78 30 12,7.472038269042969
84 30 12|84 30 12,9.250640869140625
90 30 12|90 30 12,7.834434509277344
96 30 12|96 30 12,8.096694946289062
36 12|36 12,6.890296936035156
6 36 12|6 36 12,6.823539733886719
12 36 12|12 36 12,7.5435638427734375
18 36 12|18 36 12,6.9427490234375
24 36 12|24 36 12,7.2383880615234375
30 36 12|30 36 12,7.109642028808594
36 36 12|36 36 12,7.2002410888671875
42 36 12|42 36 12,8.177757263183594
48 36 12|48 36 12,7.59124755859375
54 36 12|54 36 12,7.586479187011719
60 36 12|60 36 12,8.4686279296875
66 36 12|66 36 12,8.053779602050781
72 36 12|72 36 12,7.853507995605468
78 36 12|78 36 12,8.196830749511719
84 36 12|84 36 12,8.73565673828125
90 36 12|90 36 12,8.397102355957031
96 36 12|96 36 12,8.492469787597656
42 12|42 12,6.718635559082031
6 42 12|6 42 12,6.728172302246094
12 42 12|12 42 12,6.709098815917969
18 42 12|18 42 12,6.9522857666015625
24 42 12|24 42 12,7.190704345703125
30 42 12|30 42 12,8.449554443359375
36 42 12|36 42 12,7.381439208984375
42 42 12|42 42 12,7.32421875
48 42 12|48 42 12,7.6198577880859375
54 42 12|54 42 12,7.724761962890625
60 42 12|60 42 12,10.762214660644531
66 42 12|66 42 12,8.068084716796875
72 42 12|72 42 12,8.12530517578125
78 42 12|78 42 12,8.211135864257812
84 42 12|84 42 12,8.697509765625
90 42 12|90 42 12,8.65936279296875
96 42 12|96 42 12,8.749961853027344
48 12|48 12,6.4945220947265625
6 48 12|6 48 12,6.833076477050781
12 48 12|12 48 12,6.9713592529296875
18 48 12|18 48 12,7.052421569824219
24 48 12|24 48 12,7.32421875
30 48 12|30 48 12,7.071495056152344
36 48 12|36 48 12,7.4481964111328125
42 48 12|42 48 12,7.190704345703125
48 48 12|48 48 12,7.596015930175781
54 48 12|54 48 12,7.9345703125
60 48 12|60 48 12,10.223388671875
66 48 12|66 48 12,8.306503295898438
72 48 12|72 48 12,8.616447448730469
78 48 12|78 48 12,8.687973022460938
84 48 12|84 48 12,9.202957153320312
90 48 12|90 48 12,9.636878967285156
96 48 12|96 48 12,9.551048278808594
54 12|54 12,6.613731384277344
6 54 12|6 54 12,6.642341613769531
12 54 12|12 54 12,6.937980651855469
18 54 12|18 54 12,7.3337554931640625
24 54 12|24 54 12,7.109642028808594
30 54 12|30 54 12,7.214546203613281
36 54 12|36 54 12,7.433891296386719
42 54 12|42 54 12,7.3909759521484375
48 54 12|48 54 12,8.258819580078125
54 54 12|54 54 12,8.3160400390625
60 54 12|60 54 12,9.961128234863281
66 54 12|66 54 12,8.959770202636719
72 54 12|72 54 12,9.245872497558594
78 54 12|78 54 12,9.102821350097656
84 54 12|84 54 12,9.508132934570312
90 54 12|90 54 12,9.412765502929688
96 54 12|96 54 12,10.075569152832031
60 12|60 12,6.8187713623046875
6 60 12|6 60 12,6.690025329589844
12 60 12|12 60 12,6.594657897949219
18 60 12|18 60 12,7.171630859375
24 60 12|24 60 12,7.2765350341796875
30 60 12|30 60 12,7.305145263671875
36 60 12|36 60 12,7.686614990234376
42 60 12|42 60 12,7.996559143066406
48 60 12|48 60 12,7.977485656738281
54 60 12|54 60 12,8.873939514160156
60 60 12|60 60 12,8.81195068359375
66 60 12|66 60 12,9.012222290039062
72 60 12|72 60 12,9.856224060058594
78 60 12|78 60 12,9.064674377441406
84 60 12|84 60 12,10.304450988769531
90 60 12|90 60 12,9.593963623046875
96 60 12|96 60 12,10.619163513183594
66 12|66 12,6.8187713623046875
6 66 12|6 66 12,6.961822509765625
12 66 12|12 66 12,6.833076477050781
18 66 12|18 66 12,7.0858001708984375
24 66 12|24 66 12,7.457733154296875
30 66 12|30 66 12,7.534027099609375
36 66 12|36 66 12,7.662773132324219
42 66 12|42 66 12,8.287429809570312
48 66 12|48 66 12,8.940696716308594
54 66 12|54 66 12,9.455680847167969
60 66 12|60 66 12,9.226799011230469
66 66 12|66 66 12,8.85009765625
72 66 12|72 66 12,9.894371032714844
78 66 12|78 66 12,9.484291076660156
84 66 12|84 66 12,9.760856628417969
90 66 12|90 66 12,10.519027709960938
96 66 12|96 66 12,11.234283447265625
72 12|72 12,6.6089630126953125
6 72 12|6 72 12,6.651878356933594
12 72 12|12 72 12,6.9522857666015625
18 72 12|18 72 12,7.3146820068359375
24 72 12|24 72 12,7.4291229248046875
30 72 12|30 72 12,7.801055908203125
36 72 12|36 72 12,7.767677307128906
42 72 12|42 72 12,7.843971252441406
48 72 12|48 72 12,8.168220520019531
54 72 12|54 72 12,8.869171142578125
60 72 12|60 72 12,9.608268737792969
66 72 12|66 72 12,9.436607360839844
72 72 12|72 72 12,10.294914245605469
78 72 12|78 72 12,14.538764953613281
84 72 12|84 72 12,10.433197021484375
90 72 12|90 72 12,10.600090026855469
96 72 12|96 72 12,11.124610900878906
78 12|78 12,6.8187713623046875
6 78 12|6 78 12,6.814002990722656
12 78 12|12 78 12,7.0476531982421875
18 78 12|18 78 12,7.32421875
24 78 12|24 78 12,7.572174072265625
30 78 12|30 78 12,7.6961517333984375
36 78 12|36 78 12,8.111000061035156
42 78 12|42 78 12,8.687973022460938
48 78 12|48 78 12,8.854866027832031
54 78 12|54 78 12,9.016990661621094
60 78 12|60 78 12,9.589195251464844
66 78 12|66 78 12,10.886192321777344
72 78 12|72 78 12,10.285377502441406
78 78 12|78 78 12,10.433197021484375
84 78 12|84 78 12,11.076927185058594
90 78 12|90 78 12,11.544227600097656
96 78 12|96 78 12,11.658668518066406
84 12|84 12,6.7138671875
6 84 12|6 84 12,6.747245788574219
12 84 12|12 84 12,7.13348388671875
18 84 12|18 84 12,7.076263427734375
24 84 12|24 84 12,7.758140563964844
30 84 12|30 84 12,7.8487396240234375
36 84 12|36 84 12,8.473396301269531
42 84 12|42 84 12,8.540153503417969
48 84 12|48 84 12,8.7738037109375
54 84 12|54 84 12,9.813308715820312
60 84 12|60 84 12,10.4522705078125
66 84 12|66 84 12,10.838508605957031
72 84 12|72 84 12,10.690689086914062
78 84 12|78 84 12,10.87188720703125
84 84 12|84 84 12,11.453628540039062
90 84 12|90 84 12,11.2152099609375
96 84 12|96 84 12,11.40594482421875
90 12|90 12,6.618499755859375
6 90 12|6 90 12,6.7901611328125
12 90 12|12 90 12,7.023811340332031
18 90 12|18 90 12,7.691383361816405
24 90 12|24 90 12,7.648468017578125
30 90 12|30 90 12,10.366439819335938
36 90 12|36 90 12,8.463859558105469
42 90 12|42 90 12,8.912086486816406
48 90 12|48 90 12,9.479522705078125
54 90 12|54 90 12,9.717941284179688
60 90 12|60 90 12,9.593963623046875
66 90 12|66 90 12,10.609626770019531
72 90 12|72 90 12,10.800361633300781
78 90 12|78 90 12,11.200904846191406
84 90 12|84 90 12,10.56671142578125
90 90 12|90 90 12,11.854171752929688
96 90 12|96 90 12,12.836456298828125
96 12|96 12,6.7138671875
6 96 12|6 96 12,7.3528289794921875
12 96 12|12 96 12,6.9522857666015625
18 96 12|18 96 12,7.061958312988281
24 96 12|24 96 12,7.86304473876953
30 96 12|30 96 12,8.220672607421875
36 96 12|36 96 12,8.664131164550781
42 96 12|42 96 12,9.016990661621094
48 96 12|48 96 12,9.522438049316406
54 96 12|54 96 12,10.046958923339844
60 96 12|60 96 12,10.666847229003906
66 96 12|66 96 12,10.576248168945312
72 96 12|72 96 12,11.625289916992188
78 96 12|78 96 12,10.924339294433594
84 96 12|84 96 12,11.496543884277344
90 96 12|90 96 12,12.736320495605469
96 96 12|96 96 12,12.331008911132812
18|18,6.732940673828125
6 18|6 18,6.7138671875
6 6 18|6 6 18,6.203651428222656
12 6 18|12 6 18,6.6089630126953125
