6|6,10.79559326171875
12 48 12|12 48 12,11.134147644042969
18 48 12|18 48 12,12.173652648925781
24 48 12|24 48 12,11.439323425292969
30 48 12|30 48 12,11.963844299316406
36 48 12|36 48 12,12.292861938476562
42 48 12|42 48 12,12.583732604980469
48 48 12|48 48 12,12.078285217285156
54 48 12|54 48 12,13.937950134277344
60 48 12|60 48 12,13.203620910644531
66 48 12|66 48 12,13.146400451660156
72 48 12|72 48 12,13.279914855957031
78 48 12|78 48 12,12.650489807128906
84 48 12|84 48 12,14.019012451171875
90 48 12|90 48 12,13.880729675292969
96 48 12|96 48 12,13.685226440429688
54 12|54 12,10.786056518554688
6 54 12|6 54 12,10.814666748046875
12 54 12|12 54 12,10.981559753417969
18 54 12|18 54 12,12.087821960449219
24 54 12|24 54 12,12.178421020507812
30 54 12|30 54 12,11.692047119140625
36 54 12|36 54 12,12.054443359375
42 54 12|42 54 12,12.383460998535156
48 54 12|48 54 12,12.421607971191406
54 54 12|54 54 12,13.728141784667969
60 54 12|60 54 12,13.575553894042969
66 54 12|66 54 12,15.749931335449219
72 54 12|72 54 12,14.138221740722656
78 54 12|78 54 12,17.652511596679688
84 54 12|84 54 12,14.557838439941406
90 54 12|90 54 12,14.562606811523438
96 54 12|96 54 12,18.68724822998047
60 12|60 12,11.434555053710938
6 60 12|6 60 12,11.286735534667969
12 60 12|12 60 12,11.110305786132812
18 60 12|18 60 12,11.544227600097656
24 60 12|24 60 12,12.001991271972656
30 60 12|30 60 12,11.801719665527344
36 60 12|36 60 12,12.760162353515625
42 60 12|42 60 12,12.540817260742188
48 60 12|48 60 12,14.30511474609375
54 60 12|54 60 12,12.898445129394531
60 60 12|60 60 12,13.184547424316406
66 60 12|66 60 12,13.928413391113281
72 60 12|72 60 12,13.265609741210938
78 60 12|78 60 12,13.613700866699219
84 60 12|84 60 12,13.914108276367188
90 60 12|90 60 12,14.896392822265625
96 60 12|96 60 12,14.433860778808594
66 12|66 12,13.012886047363281
6 66 12|6 66 12,10.924339294433594
12 66 12|12 66 12,11.10076904296875
18 66 12|18 66 12,11.477470397949219
24 66 12|24 66 12,11.830329895019531
30 66 12|30 66 12,12.269020080566406
36 66 12|36 66 12,12.531280517578125
42 66 12|42 66 12,13.46588134765625
48 66 12|48 66 12,12.793540954589844
54 66 12|54 66 12,13.413429260253906
60 66 12|60 66 12,13.885498046875
66 66 12|66 66 12,14.538764953613281
72 66 12|72 66 12,14.495849609375
78 66 12|78 66 12,15.034675598144531
84 66 12|84 66 12,13.92364501953125
90 66 12|90 66 12,14.815330505371094
96 66 12|96 66 12,17.385482788085938
72 12|72 12,10.848045349121094
6 72 12|6 72 12,10.995864868164062
12 72 12|12 72 12,11.057853698730469
18 72 12|18 72 12,12.431144714355469
24 72 12|24 72 12,12.712478637695312
30 72 12|30 72 12,13.017654418945312
36 72 12|36 72 12,12.521743774414062
42 72 12|42 72 12,13.213157653808594
48 72 12|48 72 12,13.170242309570312
54 72 12|54 72 12,13.427734375
60 72 12|60 72 12,13.141632080078125
66 72 12|66 72 12,13.918876647949219
72 72 12|72 72 12,13.942718505859375
78 72 12|78 72 12,14.247894287109375
84 72 12|84 72 12,14.939308166503906
90 72 12|90 72 12,16.651153564453125
96 72 12|96 72 12,14.896392822265625
78 12|78 12,10.886192321777344
6 78 12|6 78 12,10.766983032226562
12 78 12|12 78 12,11.048316955566406
18 78 12|18 78 12,13.365745544433594
24 78 12|24 78 12,12.2833251953125
30 78 12|30 78 12,12.39776611328125
36 78 12|36 78 12,13.599395751953125
42 78 12|42 78 12,13.632774353027344
48 78 12|48 78 12,13.418197631835938
54 78 12|54 78 12,13.766288757324219
60 78 12|60 78 12,13.394355773925781
66 78 12|66 78 12,14.433860778808594
72 78 12|72 78 12,14.15252685546875
78 78 12|78 78 12,15.978813171386717
84 78 12|84 78 12,15.506744384765627
90 78 12|90 78 12,15.354156494140627
96 78 12|96 78 12,15.835762023925781
84 12|84 12,11.076927185058594
6 84 12|6 84 12,11.296272277832031
12 84 12|12 84 12,10.809898376464844
18 84 12|18 84 12,11.644363403320312
24 84 12|24 84 12,13.070106506347656
30 84 12|30 84 12,13.036727905273438
