6|6,4.115104675292969
42 30 12|42 30 12,13.523101806640625
48 30 12|48 30 12,15.75469970703125
54 30 12|54 30 12,15.392303466796875
60 30 12|60 30 12,15.234947204589844
66 30 12|66 30 12,17.28057861328125
72 30 12|72 30 12,18.362998962402344
78 30 12|78 30 12,18.939971923828125
84 30 12|84 30 12,19.45018768310547
90 30 12|90 30 12,20.647048950195312
96 30 12|96 30 12,19.87457275390625
36 12|36 12,8.268356323242188
6 36 12|6 36 12,8.435249328613281
12 36 12|12 36 12,10.895729064941406
18 36 12|18 36 12,19.865036010742188
24 36 12|24 36 12,12.154579162597656
30 36 12|30 36 12,12.750625610351562
36 36 12|36 36 12,14.057159423828125
42 36 12|42 36 12,15.664100646972656
48 36 12|48 36 12,14.739036560058594
54 36 12|54 36 12,17.12322235107422
60 36 12|60 36 12,17.061233520507812
66 36 12|66 36 12,20.599365234375
72 36 12|72 36 12,20.10822296142578
78 36 12|78 36 12,21.882057189941406
84 36 12|84 36 12,21.58641815185547
90 36 12|90 36 12,22.20630645751953
96 36 12|96 36 12,23.30780029296875
42 12|42 12,7.839202880859376
6 42 12|6 42 12,9.1552734375
12 42 12|12 42 12,14.910697937011719
18 42 12|18 42 12,11.539459228515625
24 42 12|24 42 12,12.655258178710938
30 42 12|30 42 12,14.929771423339844
36 42 12|36 42 12,14.977455139160156
42 42 12|42 42 12,15.668869018554688
48 42 12|48 42 12,17.0135498046875
54 42 12|54 42 12,18.91613006591797
60 42 12|60 42 12,18.949508666992188
66 42 12|66 42 12,20.341873168945312
72 42 12|72 42 12,22.110939025878906
78 42 12|78 42 12,22.487640380859375
84 42 12|84 42 12,25.60138702392578
90 42 12|90 42 12,25.949478149414062
96 42 12|96 42 12,25.610923767089844
48 12|48 12,7.915496826171876
6 48 12|6 48 12,10.509490966796875
12 48 12|12 48 12,12.431144714355469
18 48 12|18 48 12,12.035369873046875
24 48 12|24 48 12,12.912750244140625
30 48 12|30 48 12,14.1143798828125
36 48 12|36 48 12,16.608238220214844
42 48 12|42 48 12,17.490386962890625
48 48 12|48 48 12,18.19133758544922
54 48 12|54 48 12,19.655227661132812
60 48 12|60 48 12,20.766258239746094
66 48 12|66 48 12,26.2451171875
72 48 12|72 48 12,23.832321166992188
78 48 12|78 48 12,26.85070037841797
84 48 12|84 48 12,26.96514129638672
90 48 12|90 48 12,45.12310028076172
96 48 12|96 48 12,30.09319305419922
54 12|54 12,8.039474487304688
6 54 12|6 54 12,10.294914245605469
12 54 12|12 54 12,11.343955993652344
18 54 12|18 54 12,13.394355773925781
24 54 12|24 54 12,14.424324035644531
30 54 12|30 54 12,15.301704406738283
36 54 12|36 54 12,17.81463623046875
42 54 12|42 54 12,42.815208435058594
48 54 12|48 54 12,18.901824951171875
54 54 12|54 54 12,21.2860107421875
60 54 12|60 54 12,22.08709716796875
66 54 12|66 54 12,23.77033233642578
72 54 12|72 54 12,25.420188903808594
78 54 12|78 54 12,26.712417602539062
84 54 12|84 54 12,28.371810913085938
90 54 12|90 54 12,30.221939086914062
96 54 12|96 54 12,38.11836242675781
60 12|60 12,7.734298706054687
6 60 12|6 60 12,9.350776672363281
12 60 12|12 60 12,11.324882507324219
18 60 12|18 60 12,12.788772583007812
24 60 12|24 60 12,14.219284057617188
30 60 12|30 60 12,14.863014221191406
36 60 12|36 60 12,17.12322235107422
42 60 12|42 60 12,20.03192901611328
48 60 12|48 60 12,20.341873168945312
54 60 12|54 60 12,23.899078369140625
60 60 12|60 60 12,25.377273559570312
66 60 12|66 60 12,28.30982208251953
72 60 12|72 60 12,27.337074279785156
78 60 12|78 60 12,27.68993377685547
84 60 12|84 60 12,41.65172576904297
90 60 12|90 60 12,60.26268005371094
96 60 12|96 60 12,47.48344421386719
66 12|66 12,8.792877197265625
6 66 12|6 66 12,9.827613830566406
12 66 12|12 66 12,11.878013610839844
18 66 12|18 66 12,14.739036560058594
24 66 12|24 66 12,15.115737915039062
30 66 12|30 66 12,16.51763916015625
36 66 12|36 66 12,18.61572265625
42 66 12|42 66 12,617.0654296875
48 66 12|48 66 12,23.04553985595703
54 66 12|54 66 12,24.48558807373047
60 66 12|60 66 12,25.076866149902344
66 66 12|66 66 12,27.81391143798828
72 66 12|72 66 12,28.395652770996094
78 66 12|78 66 12,35.567283630371094
84 66 12|84 66 12,34.122467041015625
90 66 12|90 66 12,50.11558532714844
96 66 12|96 66 12,38.88130187988281
72 12|72 12,8.6212158203125
6 72 12|6 72 12,10.170936584472656
12 72 12|12 72 12,12.650489807128906
18 72 12|18 72 12,13.523101806640625
24 72 12|24 72 12,15.435218811035154
30 72 12|30 72 12,16.937255859375
36 72 12|36 72 12,18.91613006591797
42 72 12|42 72 12,23.374557495117188
48 72 12|48 72 12,54.51679229736328
54 72 12|54 72 12,26.197433471679688
60 72 12|60 72 12,29.79755401611328
66 72 12|66 72 12,30.045509338378906
72 72 12|72 72 12,33.71238708496094
78 72 12|78 72 12,63.1570816040039
84 72 12|84 72 12,66.08009338378906
90 72 12|90 72 12,37.42218017578125
96 72 12|96 72 12,55.518150329589844
78 12|78 12,8.325576782226562
6 78 12|6 78 12,11.749267578125
12 78 12|12 78 12,12.640953063964844
18 78 12|18 78 12,14.181137084960938
24 78 12|24 78 12,16.7083740234375
30 78 12|30 78 12,24.776458740234375
36 78 12|36 78 12,20.3704833984375
42 78 12|42 78 12,23.794174194335938
48 78 12|48 78 12,25.420188903808594
54 78 12|54 78 12,29.621124267578125
60 78 12|60 78 12,30.56049346923828
66 78 12|66 78 12,35.32886505126953
72 78 12|72 78 12,35.96782684326172
78 78 12|78 78 12,41.70417785644531
84 78 12|84 78 12,35.97259521484375
90 78 12|90 78 12,47.316551208496094
96 78 12|96 78 12,55.32264709472656
84 12|84 12,7.834434509277344
6 84 12|6 84 12,10.495185852050781
12 84 12|12 84 12,12.884140014648438
18 84 12|18 84 12,15.645027160644533
24 84 12|24 84 12,16.13140106201172
30 84 12|30 84 12,20.294189453125
36 84 12|36 84 12,21.882057189941406
42 84 12|42 84 12,25.124549865722656
48 84 12|48 84 12,28.176307678222656
54 84 12|54 84 12,28.181076049804688
60 84 12|60 84 12,33.10680389404297
66 84 12|66 84 12,33.91265869140625
72 84 12|72 84 12,35.02845764160156
78 84 12|78 84 12,69.7469711303711
84 84 12|84 84 12,49.92961883544922
90 84 12|90 84 12,49.29542541503906
96 84 12|96 84 12,55.23681640625
90 12|90 12,7.9345703125
6 90 12|6 90 12,10.361671447753906
12 90 12|12 90 12,13.775825500488281
18 90 12|18 90 12,15.44952392578125
24 90 12|24 90 12,19.750595092773438
30 90 12|30 90 12,20.22266387939453
36 90 12|36 90 12,24.132728576660156
42 90 12|42 90 12,24.6429443359375
48 90 12|48 90 12,27.899742126464844
54 90 12|54 90 12,31.170845031738285
60 90 12|60 90 12,39.772987365722656
66 90 12|66 90 12,36.063194274902344
72 90 12|72 90 12,38.74778747558594
78 90 12|78 90 12,39.36290740966797
84 90 12|84 90 12,57.83557891845703
90 90 12|90 90 12,55.66120147705078
96 90 12|96 90 12,56.46705627441406
96 12|96 12,8.006095886230469
6 96 12|6 96 12,12.545585632324219
12 96 12|12 96 12,13.289451599121094
18 96 12|18 96 12,48.55632781982422
24 96 12|24 96 12,17.843246459960938
30 96 12|30 96 12,21.185874938964844
36 96 12|36 96 12,23.84185791015625
42 96 12|42 96 12,27.11772918701172
48 96 12|48 96 12,32.8826904296875
54 96 12|54 96 12,31.809806823730465
60 96 12|60 96 12,35.529136657714844
66 96 12|66 96 12,35.071372985839844
72 96 12|72 96 12,49.691200256347656
78 96 12|78 96 12,58.040618896484375
84 96 12|84 96 12,51.88465118408203
90 96 12|90 96 12,103.84082794189453
96 96 12|96 96 12,105.38578033447266
18|18,8.27789306640625
6 18|6 18,8.707046508789062
6 6 18|6 6 18,8.516311645507812
12 6 18|12 6 18,9.217262268066406
18 6 18|18 6 18,8.826255798339844
24 6 18|24 6 18,8.921623229980469
30 6 18|30 6 18,11.448860168457031
36 6 18|36 6 18,10.013580322265625
42 6 18|42 6 18,10.256767272949219
48 6 18|48 6 18,11.734962463378906
54 6 18|54 6 18,10.41412353515625
60 6 18|60 6 18,12.416839599609375
66 6 18|66 6 18,12.063980102539062
72 6 18|72 6 18,10.838508605957031
78 6 18|78 6 18,11.510848999023438
84 6 18|84 6 18,10.991096496582031
90 6 18|90 6 18,12.5885009765625
96 6 18|96 6 18,12.807846069335938
12 18|12 18,9.26971435546875
6 12 18|6 12 18,9.19342041015625
12 12 18|12 12 18,9.336471557617188
18 12 18|18 12 18,10.886192321777344
24 12 18|24 12 18,10.251998901367188
30 12 18|30 12 18,10.657310485839844
36 12 18|36 12 18,11.439323425292969
42 12 18|42 12 18,11.882781982421875
48 12 18|48 12 18,13.484954833984375
54 12 18|54 12 18,13.289451599121094
60 12 18|60 12 18,82.61680603027344
66 12 18|66 12 18,16.326904296875
72 12 18|72 12 18,15.320777893066408
78 12 18|78 12 18,15.521049499511717
84 12 18|84 12 18,15.06805419921875
90 12 18|90 12 18,17.685890197753906
96 12 18|96 12 18,15.859603881835936
18 18|18 18,8.993148803710938
6 18 18|6 18 18,9.851455688476562
12 18 18|12 18 18,9.741783142089844
18 18 18|18 18 18,11.873245239257812
24 18 18|24 18 18,12.640953063964844
30 18 18|30 18 18,12.917518615722656
36 18 18|36 18 18,12.736320495605469
42 18 18|42 18 18,15.306472778320312
48 18 18|48 18 18,14.600753784179688
54 18 18|54 18 18,14.309883117675781
60 18 18|60 18 18,17.66681671142578
66 18 18|66 18 18,17.905235290527344
72 18 18|72 18 18,20.475387573242188
78 18 18|78 18 18,18.04828643798828
84 18 18|84 18 18,19.79351043701172
90 18 18|90 18 18,26.78394317626953
96 18 18|96 18 18,20.918846130371094
24 18|24 18,8.211135864257812
6 24 18|6 24 18,9.5367431640625
12 24 18|12 24 18,11.949539184570312
18 24 18|18 24 18,12.884140014648438
24 24 18|24 24 18,13.642311096191406
30 24 18|30 24 18,79.79393005371094
36 24 18|36 24 18,14.424324035644531
42 24 18|42 24 18,20.856857299804688
48 24 18|48 24 18,16.307830810546875
54 24 18|54 24 18,22.411346435546875
60 24 18|60 24 18,19.440650939941406
66 24 18|66 24 18,23.012161254882812
72 24 18|72 24 18,23.08368682861328
78 24 18|78 24 18,27.39429473876953
84 24 18|84 24 18,27.565956115722656
90 24 18|90 24 18,25.177001953125
96 24 18|96 24 18,23.713111877441406
30 18|30 18,8.654594421386719
6 30 18|6 30 18,10.123252868652344
12 30 18|12 30 18,10.423660278320312
18 30 18|18 30 18,11.720657348632812
24 30 18|24 30 18,14.615058898925781
30 30 18|30 30 18,16.52240753173828
36 30 18|36 30 18,15.826225280761717
42 30 18|42 30 18,16.90387725830078
48 30 18|48 30 18,23.441314697265625
54 30 18|54 30 18,22.439956665039062
60 30 18|60 30 18,28.100013732910156
66 30 18|66 30 18,26.764869689941406
72 30 18|72 30 18,25.582313537597656
78 30 18|78 30 18,35.90583801269531
84 30 18|84 30 18,36.92626953125
90 30 18|90 30 18,31.199455261230472
96 30 18|96 30 18,45.17555236816406
36 18|36 18,10.03265380859375
6 36 18|6 36 18,10.2996826171875
12 36 18|12 36 18,10.547637939453125
18 36 18|18 36 18,13.279914855957031
24 36 18|24 36 18,15.983581542968752
30 36 18|30 36 18,18.23902130126953
36 36 18|36 36 18,21.681785583496094
42 36 18|42 36 18,143.9809799194336
48 36 18|48 36 18,25.224685668945312
54 36 18|54 36 18,30.90381622314453
60 36 18|60 36 18,30.589103698730472
66 36 18|66 36 18,35.4766845703125
72 36 18|72 36 18,36.759376525878906
78 36 18|78 36 18,41.68987274169922
84 36 18|84 36 18,37.674903869628906
90 36 18|90 36 18,52.17552185058594
96 36 18|96 36 18,216.5985107421875
42 18|42 18,8.463859558105469
6 42 18|6 42 18,9.889602661132812
12 42 18|12 42 18,11.773109436035156
18 42 18|18 42 18,14.524459838867188
24 42 18|24 42 18,19.125938415527344
30 42 18|30 42 18,19.94609832763672
36 42 18|36 42 18,21.24786376953125
42 42 18|42 42 18,19.07825469970703
48 42 18|48 42 18,28.505325317382812
54 42 18|54 42 18,29.25395965576172
60 42 18|60 42 18,27.11772918701172
66 42 18|66 42 18,33.73146057128906
72 42 18|72 42 18,34.127235412597656
78 42 18|78 42 18,52.437782287597656
84 42 18|84 42 18,54.19731140136719
90 42 18|90 42 18,60.87303161621094
96 42 18|96 42 18,54.21638488769531
48 18|48 18,8.540153503417969
6 48 18|6 48 18,11.105537414550781
12 48 18|12 48 18,13.108253479003906
18 48 18|18 48 18,17.05646514892578
24 48 18|24 48 18,17.43316650390625
30 48 18|30 48 18,23.04553985595703
36 48 18|36 48 18,25.41065216064453
42 48 18|42 48 18,30.155181884765625
48 48 18|48 48 18,25.687217712402344
54 48 18|54 48 18,28.08094024658203
60 48 18|60 48 18,44.77500915527344
66 48 18|66 48 18,84.88178253173828
72 48 18|72 48 18,36.49711608886719
78 48 18|78 48 18,59.356689453125
84 48 18|84 48 18,89.15424346923828
90 48 18|90 48 18,102.1575927734375
96 48 18|96 48 18,103.96957397460938
54 18|54 18,9.131431579589844
6 54 18|6 54 18,10.466575622558594
12 54 18|12 54 18,13.556480407714844
18 54 18|18 54 18,15.71178436279297
24 54 18|24 54 18,21.185874938964844
30 54 18|30 54 18,21.147727966308594
36 54 18|36 54 18,75.21629333496094
42 54 18|42 54 18,39.272308349609375
48 54 18|48 54 18,33.25462341308594
54 54 18|54 54 18,27.08911895751953
60 54 18|60 54 18,51.517486572265625
66 54 18|66 54 18,56.37168884277344
72 54 18|72 54 18,55.823326110839844
78 54 18|78 54 18,91.97711944580078
84 54 18|84 54 18,48.065185546875
90 54 18|90 54 18,105.93414306640625
96 54 18|96 54 18,69.31781768798828
60 18|60 18,9.870529174804688
6 60 18|6 60 18,11.444091796875
12 60 18|12 60 18,14.848709106445312
18 60 18|18 60 18,16.469955444335938
24 60 18|24 60 18,21.54827117919922
30 60 18|30 60 18,31.31389617919922
36 60 18|36 60 18,30.55572509765625
42 60 18|42 60 18,38.890838623046875
