6|6,3.1423568725585938
48 6 12|48 6 12,6.7615509033203125
54 6 12|54 6 12,6.794929504394531
60 6 12|60 6 12,8.192062377929688
66 6 12|66 6 12,7.052421569824219
72 6 12|72 6 12,7.152557373046875
78 6 12|78 6 12,7.605552673339844
84 6 12|84 6 12,8.068084716796875
90 6 12|90 6 12,7.476806640625
96 6 12|96 6 12,8.196830749511719
12 12|12 12,5.9413909912109375
6 12 12|6 12 12,6.2465667724609375
12 12 12|12 12 12,6.237030029296875
18 12 12|18 12 12,6.318092346191406
24 12 12|24 12 12,6.718635559082031
30 12 12|30 12 12,7.32421875
36 12 12|36 12 12,8.897781372070312
42 12 12|42 12 12,8.153915405273438
48 12 12|48 12 12,7.147789001464844
54 12 12|54 12 12,7.13348388671875
60 12 12|60 12 12,8.068084716796875
66 12 12|66 12 12,7.743835449218749
72 12 12|72 12 12,7.662773132324219
78 12 12|78 12 12,8.606910705566406
84 12 12|84 12 12,7.953643798828125
90 12 12|90 12 12,8.363723754882812
96 12 12|96 12 12,9.288787841796875
18 12|18 12,6.923675537109375
6 18 12|6 18 12,7.3337554931640625
12 18 12|12 18 12,6.52313232421875
18 18 12|18 18 12,6.7996978759765625
24 18 12|24 18 12,7.510185241699219
30 18 12|30 18 12,7.529258728027344
36 18 12|36 18 12,7.753372192382813
42 18 12|42 18 12,8.592605590820312
48 18 12|48 18 12,7.829666137695313
54 18 12|54 18 12,7.8582763671875
60 18 12|60 18 12,8.440017700195312
66 18 12|66 18 12,8.382797241210938
72 18 12|72 18 12,8.349418640136719
78 18 12|78 18 12,8.6212158203125
84 18 12|84 18 12,8.997917175292969
90 18 12|90 18 12,9.961128234863281
96 18 12|96 18 12,9.136199951171875
24 12|24 12,6.213188171386719
6 24 12|6 24 12,6.422996520996094
12 24 12|12 24 12,8.282661437988281
18 24 12|18 24 12,6.880760192871094
24 24 12|24 24 12,7.762908935546876
30 24 12|30 24 12,7.3719024658203125
36 24 12|36 24 12,7.557868957519531
42 24 12|42 24 12,8.025169372558594
48 24 12|48 24 12,8.530616760253906
54 24 12|54 24 12,8.382797241210938
60 24 12|60 24 12,9.65118408203125
66 24 12|66 24 12,8.897781372070312
72 24 12|72 24 12,9.527206420898438
78 24 12|78 24 12,9.746551513671875
84 24 12|84 24 12,10.495185852050781
90 24 12|90 24 12,10.371208190917969
96 24 12|96 24 12,11.32965087890625
30 12|30 12,6.0939788818359375
6 30 12|6 30 12,6.580352783203125
12 30 12|12 30 12,6.694793701171875
18 30 12|18 30 12,7.519721984863281
24 30 12|24 30 12,8.339881896972656
30 30 12|30 30 12,8.087158203125
36 30 12|36 30 12,8.311271667480469
42 30 12|42 30 12,9.3841552734375
48 30 12|48 30 12,8.702278137207031
54 30 12|54 30 12,9.870529174804688
60 30 12|60 30 12,9.608268737792969
66 30 12|66 30 12,10.342597961425781
72 30 12|72 30 12,10.213851928710938
78 30 12|78 30 12,10.595321655273438
84 30 12|84 30 12,10.929107666015625
90 30 12|90 30 12,11.844635009765625
96 30 12|96 30 12,12.054443359375
36 12|36 12,6.21795654296875
6 36 12|6 36 12,6.6471099853515625
12 36 12|12 36 12,9.42230224609375
18 36 12|18 36 12,7.596015930175781
24 36 12|24 36 12,7.534027099609375
30 36 12|30 36 12,8.549690246582031
36 36 12|36 36 12,9.856224060058594
42 36 12|42 36 12,9.016990661621094
48 36 12|48 36 12,10.027885437011719
54 36 12|54 36 12,10.085105895996094
60 36 12|60 36 12,10.290145874023438
66 36 12|66 36 12,11.539459228515625
72 36 12|72 36 12,11.143684387207031
78 36 12|78 36 12,12.450218200683594
84 36 12|84 36 12,13.494491577148438
90 36 12|90 36 12,14.4195556640625
96 36 12|96 36 12,14.7247314453125
42 12|42 12,6.44683837890625
6 42 12|6 42 12,6.661415100097656
12 42 12|12 42 12,7.414817810058594
18 42 12|18 42 12,8.115768432617188
24 42 12|24 42 12,7.882118225097657
30 42 12|30 42 12,8.325576782226562
36 42 12|36 42 12,9.646415710449219
42 42 12|42 42 12,9.407997131347656
48 42 12|48 42 12,11.010169982910156
54 42 12|54 42 12,10.318756103515625
60 42 12|60 42 12,11.849403381347656
66 42 12|66 42 12,11.372566223144531
72 42 12|72 42 12,12.927055358886719
78 42 12|78 42 12,13.709068298339844
84 42 12|84 42 12,14.977455139160156
90 42 12|90 42 12,16.236305236816406
96 42 12|96 42 12,15.640258789062498
48 12|48 12,6.165504455566406
6 48 12|6 48 12,7.2002410888671875
12 48 12|12 48 12,7.6961517333984375
18 48 12|18 48 12,7.748603820800781
24 48 12|24 48 12,11.687278747558594
30 48 12|30 48 12,8.831024169921875
36 48 12|36 48 12,10.800361633300781
42 48 12|42 48 12,10.447502136230469
48 48 12|48 48 12,10.676383972167969
54 48 12|54 48 12,11.897087097167969
60 48 12|60 48 12,11.897087097167969
66 48 12|66 48 12,13.651847839355469
72 48 12|72 48 12,13.895034790039062
78 48 12|78 48 12,16.565322875976562
84 48 12|84 48 12,15.330314636230469
90 48 12|90 48 12,17.910003662109375
96 48 12|96 48 12,20.64228057861328
54 12|54 12,6.203651428222656
6 54 12|6 54 12,7.2574615478515625
12 54 12|12 54 12,7.810592651367187
18 54 12|18 54 12,7.905960083007812
24 54 12|24 54 12,8.397102355957031
30 54 12|30 54 12,10.471343994140625
36 54 12|36 54 12,10.495185852050781
42 54 12|42 54 12,11.000633239746094
48 54 12|48 54 12,11.5203857421875
54 54 12|54 54 12,12.464523315429688
60 54 12|60 54 12,14.867782592773438
66 54 12|66 54 12,13.985633850097656
72 54 12|72 54 12,15.90728759765625
78 54 12|78 54 12,17.73834228515625
84 54 12|84 54 12,18.45836639404297
90 54 12|90 54 12,19.097328186035156
96 54 12|96 54 12,23.00262451171875
60 12|60 12,6.389617919921875
6 60 12|6 60 12,6.8378448486328125
12 60 12|12 60 12,7.495880126953125
18 60 12|18 60 12,8.063316345214844
24 60 12|24 60 12,9.813308715820312
30 60 12|30 60 12,9.765625
36 60 12|36 60 12,10.790824890136719
42 60 12|42 60 12,10.800361633300781
48 60 12|48 60 12,11.796951293945312
54 60 12|54 60 12,12.764930725097656
60 60 12|60 60 12,15.339851379394531
66 60 12|66 60 12,15.153884887695312
72 60 12|72 60 12,17.957687377929688
78 60 12|78 60 12,20.165443420410156
84 60 12|84 60 12,20.308494567871094
90 60 12|90 60 12,21.271705627441406
96 60 12|96 60 12,30.121803283691406
66 12|66 12,6.308555603027344
6 66 12|6 66 12,6.842613220214844
12 66 12|12 66 12,7.476806640625
18 66 12|18 66 12,9.927749633789062
24 66 12|24 66 12,8.726119995117188
30 66 12|30 66 12,11.129379272460938
36 66 12|36 66 12,10.547637939453125
42 66 12|42 66 12,12.288093566894531
48 66 12|48 66 12,12.221336364746094
54 66 12|54 66 12,14.214515686035156
60 66 12|60 66 12,15.954971313476562
66 66 12|66 66 12,21.767616271972656
72 66 12|72 66 12,21.54827117919922
78 66 12|78 66 12,20.389556884765625
84 66 12|84 66 12,29.25872802734375
90 66 12|90 66 12,31.881332397460938
96 66 12|96 66 12,30.679702758789062
72 12|72 12,6.3037872314453125
6 72 12|6 72 12,6.8569183349609375
12 72 12|12 72 12,8.230209350585938
18 72 12|18 72 12,9.965896606445312
24 72 12|24 72 12,9.469985961914062
30 72 12|30 72 12,10.614395141601562
36 72 12|36 72 12,11.734962463378906
42 72 12|42 72 12,12.354850769042969
48 72 12|48 72 12,14.495849609375
54 72 12|54 72 12,15.344619750976562
60 72 12|60 72 12,19.07825469970703
66 72 12|66 72 12,17.957687377929688
72 72 12|72 72 12,17.671585083007812
78 72 12|78 72 12,22.330284118652344
84 72 12|84 72 12,25.396347045898438
90 72 12|90 72 12,25.44879913330078
96 72 12|96 72 12,37.550926208496094
78 12|78 12,6.313323974609375
6 78 12|6 78 12,7.5244903564453125
12 78 12|12 78 12,7.853507995605468
18 78 12|18 78 12,8.7738037109375
24 78 12|24 78 12,9.560585021972656
30 78 12|30 78 12,10.223388671875
36 78 12|36 78 12,12.154579162597656
42 78 12|42 78 12,13.332366943359375
48 78 12|48 78 12,14.83917236328125
54 78 12|54 78 12,18.258094787597656
60 78 12|60 78 12,19.135475158691406
66 78 12|66 78 12,18.248558044433594
72 78 12|72 78 12,28.84387969970703
78 78 12|78 78 12,29.201507568359375
84 78 12|84 78 12,24.700164794921875
90 78 12|90 78 12,33.783912658691406
96 78 12|96 78 12,32.868385314941406
84 12|84 12,6.489753723144531
6 84 12|6 84 12,6.966590881347656
12 84 12|12 84 12,8.540153503417969
18 84 12|18 84 12,9.069442749023438
24 84 12|24 84 12,9.937286376953125
30 84 12|30 84 12,11.162757873535156
36 84 12|36 84 12,12.431144714355469
42 84 12|42 84 12,13.608932495117188
48 84 12|48 84 12,15.096664428710938
54 84 12|54 84 12,18.248558044433594
60 84 12|60 84 12,26.183128356933594
66 84 12|66 84 12,24.824142456054688
72 84 12|72 84 12,23.088455200195312
78 84 12|78 84 12,31.986236572265625
84 84 12|84 84 12,26.92699432373047
90 84 12|90 84 12,36.89765930175781
96 84 12|96 84 12,40.05908966064453
90 12|90 12,6.394386291503906
6 90 12|6 90 12,7.2002410888671875
12 90 12|12 90 12,8.082389831542969
18 90 12|18 90 12,10.323524475097656
24 90 12|24 90 12,10.1470947265625
30 90 12|30 90 12,11.949539184570312
36 90 12|36 90 12,13.003349304199219
42 90 12|42 90 12,15.916824340820314
48 90 12|48 90 12,22.339820861816406
54 90 12|54 90 12,19.559860229492188
60 90 12|60 90 12,18.901824951171875
66 90 12|66 90 12,30.722618103027347
72 90 12|72 90 12,31.623840332031246
78 90 12|78 90 12,34.470558166503906
84 90 12|84 90 12,28.219223022460938
90 90 12|90 90 12,38.10882568359375
96 90 12|96 90 12,39.391517639160156
96 12|96 12,6.356239318847656
6 96 12|6 96 12,7.262229919433594
12 96 12|12 96 12,8.873939514160156
18 96 12|18 96 12,10.142326354980469
24 96 12|24 96 12,10.590553283691406
30 96 12|30 96 12,12.111663818359375
36 96 12|36 96 12,13.489723205566406
42 96 12|42 96 12,17.35687255859375
48 96 12|48 96 12,21.262168884277344
54 96 12|54 96 12,26.082992553710938
60 96 12|60 96 12,23.508071899414062
66 96 12|66 96 12,30.760765075683597
72 96 12|72 96 12,23.832321166992188
78 96 12|78 96 12,37.08839416503906
84 96 12|84 96 12,40.030479431152344
90 96 12|90 96 12,39.162635803222656
96 96 12|96 96 12,43.51615905761719
18|18,6.403923034667969
6 18|6 18,6.241798400878906
6 6 18|6 6 18,6.346702575683594
12 6 18|12 6 18,6.861686706542969
18 6 18|18 6 18,6.794929504394531
24 6 18|24 6 18,7.534027099609375
30 6 18|30 6 18,7.319450378417969
36 6 18|36 6 18,8.058547973632812
42 6 18|42 6 18,8.249282836914062
48 6 18|48 6 18,7.4672698974609375
54 6 18|54 6 18,8.602142333984375
60 6 18|60 6 18,7.910728454589844
66 6 18|66 6 18,8.158683776855469
72 6 18|72 6 18,8.192062377929688
78 6 18|78 6 18,8.664131164550781
84 6 18|84 6 18,8.573532104492188
90 6 18|90 6 18,9.613037109375
96 6 18|96 6 18,8.802413940429688
12 18|12 18,6.241798400878906
6 12 18|6 12 18,7.138252258300781
12 12 18|12 12 18,7.7915191650390625
18 12 18|18 12 18,7.9345703125
24 12 18|24 12 18,7.62939453125
30 12 18|30 12 18,8.339881896972656
36 12 18|36 12 18,8.325576782226562
42 12 18|42 12 18,9.284019470214844
48 12 18|48 12 18,9.984970092773438
54 12 18|54 12 18,9.436607360839844
60 12 18|60 12 18,9.970664978027344
66 12 18|66 12 18,10.519027709960938
72 12 18|72 12 18,11.806488037109375
78 12 18|78 12 18,12.230873107910156
84 12 18|84 12 18,13.089179992675781
90 12 18|90 12 18,14.166831970214844
96 12 18|96 12 18,12.09259033203125
18 18|18 18,6.937980651855469
6 18 18|6 18 18,6.871223449707031
12 18 18|12 18 18,7.510185241699219
18 18 18|18 18 18,7.86304473876953
24 18 18|24 18 18,8.306503295898438
30 18 18|30 18 18,8.864402770996094
36 18 18|36 18 18,9.059906005859375
42 18 18|42 18 18,11.534690856933594
